2025-04-01 22:49:20,953 - INFO - Script started
2025-04-01 22:49:20,955 - INFO - Starting the main function
2025-04-01 22:49:21,639 - INFO - Launching the browser
2025-04-01 22:49:22,657 - INFO - Browser launched and new page created
2025-04-01 22:49:22,668 - INFO - Output directory created at D:\code\cj_carter_all\demographics_data
2025-04-01 22:49:22,669 - INFO - CSV file path set to D:\code\cj_carter_all\demographics_data\data.csv
2025-04-01 22:49:22,700 - INFO - Loaded 1904 counties from file
2025-04-01 22:49:22,701 - INFO - Loaded 120 already processed counties
2025-04-01 22:49:22,702 - INFO - Skipping already processed county: Accomack County, Virginia
2025-04-01 22:49:22,702 - INFO - Skipping already processed county: Ada County, Idaho
2025-04-01 22:49:22,703 - INFO - Skipping already processed county: Adams County, Idaho
2025-04-01 22:49:22,704 - INFO - Skipping already processed county: Adams County, Indiana
2025-04-01 22:49:22,705 - INFO - Skipping already processed county: Adams County, North Dakota
2025-04-01 22:49:22,706 - INFO - Skipping already processed county: Adams County, Ohio
2025-04-01 22:49:22,707 - INFO - Skipping already processed county: Adams County, Pennsylvania
2025-04-01 22:49:22,709 - INFO - Skipping already processed county: Adams County, Washington
2025-04-01 22:49:22,711 - INFO - Skipping already processed county: Adams County, Wisconsin
2025-04-01 22:49:22,712 - INFO - Skipping already processed county: Aitkin County, Minnesota
2025-04-01 22:49:22,712 - INFO - Skipping already processed county: Alamance County, North Carolina
2025-04-01 22:49:22,713 - INFO - Skipping already processed county: Alameda County, California
2025-04-01 22:49:22,713 - INFO - Skipping already processed county: Albany County, New York
2025-04-01 22:49:22,713 - INFO - Skipping already processed county: Albemarle County, Virginia
2025-04-01 22:49:22,714 - INFO - Skipping already processed county: Alcona County, Michigan
2025-04-01 22:49:22,714 - INFO - Skipping already processed county: Aleutians East Borough, Alaska
2025-04-01 22:49:22,715 - INFO - Skipping already processed county: Aleutians West Census Area, Alaska
2025-04-01 22:49:22,715 - INFO - Skipping already processed county: Alexander County, North Carolina
2025-04-01 22:49:22,715 - INFO - Skipping already processed county: Alger County, Michigan
2025-04-01 22:49:22,716 - INFO - Skipping already processed county: Allegan County, Michigan
2025-04-01 22:49:22,716 - INFO - Skipping already processed county: Allegany County, New York
2025-04-01 22:49:22,717 - INFO - Skipping already processed county: Alleghany County, North Carolina
2025-04-01 22:49:22,718 - INFO - Skipping already processed county: Alleghany County, Virginia
2025-04-01 22:49:22,719 - INFO - Skipping already processed county: Allegheny County, Pennsylvania
2025-04-01 22:49:22,721 - INFO - Skipping already processed county: Allen County, Indiana
2025-04-01 22:49:22,722 - INFO - Skipping already processed county: Allen County, Kansas
2025-04-01 22:49:22,723 - INFO - Skipping already processed county: Allen County, Ohio
2025-04-01 22:49:22,724 - INFO - Skipping already processed county: Alpena County, Michigan
2025-04-01 22:49:22,729 - INFO - Skipping already processed county: Alpine County, California
2025-04-01 22:49:22,730 - INFO - Skipping already processed county: Amador County, California
2025-04-01 22:49:22,731 - INFO - Skipping already processed county: Amelia County, Virginia
2025-04-01 22:49:22,732 - INFO - Skipping already processed county: Amherst County, Virginia
2025-04-01 22:49:22,732 - INFO - Skipping already processed county: Municipality of Anchorage, Alaska (a consolidated city-borough under Alaska law)
2025-04-01 22:49:22,733 - INFO - Skipping already processed county: Anderson County, Kansas
2025-04-01 22:49:22,733 - INFO - Skipping already processed county: Anderson County, Tennessee
2025-04-01 22:49:22,734 - INFO - Skipping already processed county: Anderson County, Texas
2025-04-01 22:49:22,734 - INFO - Skipping already processed county: Andrews County, Texas
2025-04-01 22:49:22,735 - INFO - Skipping already processed county: Androscoggin County, Maine
2025-04-01 22:49:22,735 - INFO - Skipping already processed county: Angelina County, Texas
2025-04-01 22:49:22,736 - INFO - Skipping already processed county: Anoka County, Minnesota
2025-04-01 22:49:22,736 - INFO - Skipping already processed county: Anson County, North Carolina
2025-04-01 22:49:22,737 - INFO - Skipping already processed county: Antrim County, Michigan
2025-04-01 22:49:22,738 - INFO - Skipping already processed county: Appling County, Georgia
2025-04-01 22:49:22,738 - INFO - Skipping already processed county: Appomattox County, Virginia
2025-04-01 22:49:22,739 - INFO - Skipping already processed county: Aransas County, Texas
2025-04-01 22:49:22,739 - INFO - Skipping already processed county: Archer County, Texas
