2025-04-03 15:56:05,785 - INFO - Script started
2025-04-03 15:56:05,790 - INFO - Starting the main function
2025-04-03 15:56:07,391 - INFO - Launching the browser
2025-04-03 15:56:09,496 - INFO - Browser launched and new page created
2025-04-03 15:56:09,546 - INFO - Output directory created at D:\code\cj_carter_all\demographics_data
2025-04-03 15:56:09,588 - INFO - CSV file path set to D:\code\cj_carter_all\demographics_data\data.csv
2025-04-03 15:56:09,634 - INFO - Loaded 1904 counties from file
2025-04-03 15:56:09,696 - INFO - Loaded 466 already processed counties
2025-04-03 15:56:09,706 - INFO - Skipping already processed county: Accomack County, Virginia
2025-04-03 15:56:09,707 - INFO - Skipping already processed county: Ada County, Idaho
2025-04-03 15:56:09,708 - INFO - Skipping already processed county: Adams County, Idaho
2025-04-03 15:56:09,709 - INFO - Skipping already processed county: Adams County, Indiana
2025-04-03 15:56:09,710 - INFO - Skipping already processed county: Adams County, North Dakota
2025-04-03 15:56:09,711 - INFO - Skipping already processed county: Adams County, Ohio
2025-04-03 15:56:09,713 - INFO - Skipping already processed county: Adams County, Pennsylvania
2025-04-03 15:56:09,717 - INFO - Skipping already processed county: Adams County, Washington
2025-04-03 15:56:09,718 - INFO - Skipping already processed county: Adams County, Wisconsin
2025-04-03 15:56:09,719 - INFO - Skipping already processed county: Aitkin County, Minnesota
2025-04-03 15:56:09,721 - INFO - Skipping already processed county: Alamance County, North Carolina
2025-04-03 15:56:09,724 - INFO - Skipping already processed county: Alameda County, California
2025-04-03 15:56:09,727 - INFO - Skipping already processed county: Albany County, New York
2025-04-03 15:56:09,728 - INFO - Skipping already processed county: Albemarle County, Virginia
2025-04-03 15:56:09,729 - INFO - Skipping already processed county: Alcona County, Michigan
2025-04-03 15:56:09,730 - INFO - Skipping already processed county: Aleutians East Borough, Alaska
2025-04-03 15:56:09,731 - INFO - Skipping already processed county: Aleutians West Census Area, Alaska
2025-04-03 15:56:09,733 - INFO - Skipping already processed county: Alexander County, North Carolina
2025-04-03 15:56:09,735 - INFO - Skipping already processed county: Alger County, Michigan
2025-04-03 15:56:09,740 - INFO - Skipping already processed county: Allegan County, Michigan
2025-04-03 15:56:09,742 - INFO - Skipping already processed county: Allegany County, New York
2025-04-03 15:56:09,743 - INFO - Skipping already processed county: Alleghany County, North Carolina
2025-04-03 15:56:09,744 - INFO - Skipping already processed county: Alleghany County, Virginia
2025-04-03 15:56:09,744 - INFO - Skipping already processed county: Allegheny County, Pennsylvania
2025-04-03 15:56:09,745 - INFO - Skipping already processed county: Allen County, Indiana
2025-04-03 15:56:09,746 - INFO - Skipping already processed county: Allen County, Kansas
2025-04-03 15:56:09,747 - INFO - Skipping already processed county: Allen County, Ohio
2025-04-03 15:56:09,748 - INFO - Skipping already processed county: Alpena County, Michigan
2025-04-03 15:56:09,749 - INFO - Skipping already processed county: Alpine County, California
