2025-04-01 23:07:21,286 - INFO - Script started
2025-04-01 23:07:21,287 - INFO - Starting the main function
2025-04-01 23:07:21,960 - INFO - Launching the browser
2025-04-01 23:07:22,602 - INFO - Browser launched and new page created
2025-04-01 23:07:22,605 - INFO - Output directory created at D:\code\cj_carter_all\demographics_data
2025-04-01 23:07:22,606 - INFO - CSV file path set to D:\code\cj_carter_all\demographics_data\data.csv
2025-04-01 23:07:22,620 - INFO - Loaded 1904 counties from file
2025-04-01 23:07:22,621 - INFO - Loaded 117 already processed counties
2025-04-01 23:07:22,622 - INFO - Skipping already processed county: Accomack County, Virginia
2025-04-01 23:07:22,622 - INFO - Skipping already processed county: Ada County, Idaho
2025-04-01 23:07:22,623 - INFO - Skipping already processed county: Adams County, Idaho
2025-04-01 23:07:22,623 - INFO - Skipping already processed county: Adams County, Indiana
2025-04-01 23:07:22,623 - INFO - Skipping already processed county: Adams County, North Dakota
2025-04-01 23:07:22,624 - INFO - Skipping already processed county: Adams County, Ohio
2025-04-01 23:07:22,625 - INFO - Skipping already processed county: Adams County, Pennsylvania
2025-04-01 23:07:22,629 - INFO - Skipping already processed county: Adams County, Washington
2025-04-01 23:07:22,632 - INFO - Skipping already processed county: Adams County, Wisconsin
2025-04-01 23:07:22,634 - INFO - Skipping already processed county: Aitkin County, Minnesota
2025-04-01 23:07:22,635 - INFO - Skipping already processed county: Alamance County, North Carolina
2025-04-01 23:07:22,636 - INFO - Skipping already processed county: Alameda County, California
2025-04-01 23:07:22,636 - INFO - Skipping already processed county: Albany County, New York
2025-04-01 23:07:22,637 - INFO - Skipping already processed county: Albemarle County, Virginia
2025-04-01 23:07:22,638 - INFO - Skipping already processed county: Alcona County, Michigan
2025-04-01 23:07:22,638 - INFO - Skipping already processed county: Aleutians East Borough, Alaska
2025-04-01 23:07:22,639 - INFO - Skipping already processed county: Aleutians West Census Area, Alaska
2025-04-01 23:07:22,639 - INFO - Skipping already processed county: Alexander County, North Carolina
2025-04-01 23:07:22,640 - INFO - Skipping already processed county: Alger County, Michigan
2025-04-01 23:07:22,641 - INFO - Skipping already processed county: Allegan County, Michigan
2025-04-01 23:07:22,641 - INFO - Skipping already processed county: Allegany County, New York
2025-04-01 23:07:22,644 - INFO - Skipping already processed county: Alleghany County, North Carolina
2025-04-01 23:07:22,651 - INFO - Skipping already processed county: Alleghany County, Virginia
2025-04-01 23:07:22,652 - INFO - Skipping already processed county: Allegheny County, Pennsylvania
2025-04-01 23:07:22,653 - INFO - Skipping already processed county: Allen County, Indiana
2025-04-01 23:07:22,653 - INFO - Skipping already processed county: Allen County, Kansas
2025-04-01 23:07:22,654 - INFO - Skipping already processed county: Allen County, Ohio
2025-04-01 23:07:22,655 - INFO - Skipping already processed county: Alpena County, Michigan
2025-04-01 23:07:22,657 - INFO - Skipping already processed county: Alpine County, California
2025-04-01 23:07:22,665 - INFO - Skipping already processed county: Amador County, California
2025-04-01 23:07:22,667 - INFO - Skipping already processed county: Amelia County, Virginia
2025-04-01 23:07:22,668 - INFO - Skipping already processed county: Amherst County, Virginia
2025-04-01 23:07:22,669 - INFO - Skipping already processed county: Municipality of Anchorage, Alaska (a consolidated city-borough under Alaska law)
2025-04-01 23:07:22,670 - INFO - Skipping already processed county: Anderson County, Kansas
2025-04-01 23:07:22,671 - INFO - Skipping already processed county: Anderson County, Tennessee
2025-04-01 23:07:22,672 - INFO - Skipping already processed county: Anderson County, Texas
2025-04-01 23:07:22,673 - INFO - Skipping already processed county: Andrews County, Texas
2025-04-01 23:07:22,674 - INFO - Skipping already processed county: Androscoggin County, Maine
2025-04-01 23:07:22,676 - INFO - Skipping already processed county: Angelina County, Texas
2025-04-01 23:07:22,676 - INFO - Skipping already processed county: Anoka County, Minnesota
2025-04-01 23:07:22,679 - INFO - Skipping already processed county: Anson County, North Carolina
2025-04-01 23:07:22,683 - INFO - Skipping already processed county: Antrim County, Michigan
2025-04-01 23:07:22,685 - INFO - Skipping already processed county: Appling County, Georgia
2025-04-01 23:07:22,687 - INFO - Skipping already processed county: Appomattox County, Virginia
2025-04-01 23:07:22,689 - INFO - Skipping already processed county: Aransas County, Texas
2025-04-01 23:07:22,690 - INFO - Skipping already processed county: Archer County, Texas
2025-04-01 23:07:22,690 - INFO - Skipping already processed county: Arenac County, Michigan
2025-04-01 23:07:22,692 - INFO - Skipping already processed county: Arkansas County, Arkansas
2025-04-01 23:07:22,694 - INFO - Skipping already processed county: Arlington County, Virginia
2025-04-01 23:07:22,696 - INFO - Skipping already processed county: Armstrong County, Pennsylvania
2025-04-01 23:07:22,699 - INFO - Skipping already processed county: Armstrong County, Texas
2025-04-01 23:07:22,701 - INFO - Skipping already processed county: Aroostook County, Maine
2025-04-01 23:07:22,701 - INFO - Skipping already processed county: Ashe County, North Carolina
2025-04-01 23:07:22,702 - INFO - Skipping already processed county: Ashland County, Ohio
2025-04-01 23:07:22,702 - INFO - Skipping already processed county: Ashland County, Wisconsin
2025-04-01 23:07:22,703 - INFO - Skipping already processed county: Ashley County, Arkansas
2025-04-01 23:07:22,704 - INFO - Skipping already processed county: Ashtabula County, Ohio
2025-04-01 23:07:22,704 - INFO - Skipping already processed county: Asotin County, Washington
2025-04-01 23:07:22,704 - INFO - Skipping already processed county: Atascosa County, Texas
2025-04-01 23:07:22,705 - INFO - Skipping already processed county: Atchison County, Kansas
2025-04-01 23:07:22,705 - INFO - Skipping already processed county: Athens County, Ohio
2025-04-01 23:07:22,705 - INFO - Skipping already processed county: Atkinson County, Georgia
2025-04-01 23:07:22,706 - INFO - Skipping already processed county: Auglaize County, Ohio
2025-04-01 23:07:22,706 - INFO - Skipping already processed county: Augusta County, Virginia
2025-04-01 23:07:22,707 - INFO - Skipping already processed county: Austin County, Texas
2025-04-01 23:07:22,707 - INFO - Skipping already processed county: Avery County, North Carolina
2025-04-01 23:07:22,708 - INFO - Skipping already processed county: Bacon County, Georgia
2025-04-01 23:07:22,709 - INFO - Skipping already processed county: Bailey County, Texas
2025-04-01 23:07:22,711 - INFO - Skipping already processed county: Baker County, Georgia
2025-04-01 23:07:22,712 - INFO - Skipping already processed county: Baker County, Oregon
2025-04-01 23:07:22,712 - INFO - Skipping already processed county: Baldwin County, Georgia
2025-04-01 23:07:22,713 - INFO - Skipping already processed county: Bandera County, Texas
2025-04-01 23:07:22,714 - INFO - Skipping already processed county: Banks County, Georgia
2025-04-01 23:07:22,716 - INFO - Skipping already processed county: Bannock County, Idaho
2025-04-01 23:07:22,717 - INFO - Skipping already processed county: Baraga County, Michigan
2025-04-01 23:07:22,718 - INFO - Skipping already processed county: Barber County, Kansas
2025-04-01 23:07:22,718 - INFO - Skipping already processed county: Barbour County, West Virginia
2025-04-01 23:07:22,719 - INFO - Skipping already processed county: Barnes County, North Dakota
2025-04-01 23:07:22,720 - INFO - Skipping already processed county: Barnstable County, Massachusetts
2025-04-01 23:07:22,721 - INFO - Skipping already processed county: Barron County, Wisconsin
2025-04-01 23:07:22,721 - INFO - Skipping already processed county: Barrow County, Georgia
2025-04-01 23:07:22,722 - INFO - Skipping already processed county: Barry County, Michigan
2025-04-01 23:07:22,722 - INFO - Skipping already processed county: Bartholomew County, Indiana
2025-04-01 23:07:22,723 - INFO - Skipping already processed county: Barton County, Kansas
2025-04-01 23:07:22,723 - INFO - Skipping already processed county: Bartow County, Georgia
2025-04-01 23:07:22,725 - INFO - Skipping already processed county: Bastrop County, Texas
2025-04-01 23:07:22,726 - INFO - Skipping already processed county: Bath County, Virginia
2025-04-01 23:07:22,727 - INFO - Skipping already processed county: Baxter County, Arkansas
2025-04-01 23:07:22,728 - INFO - Skipping already processed county: Bay County, Michigan
2025-04-01 23:07:22,729 - INFO - Skipping already processed county: Bayfield County, Wisconsin
2025-04-01 23:07:22,730 - INFO - Skipping already processed county: Baylor County, Texas
2025-04-01 23:07:22,731 - INFO - Skipping already processed county: Bear Lake County, Idaho
2025-04-01 23:07:22,731 - INFO - Skipping already processed county: Beaufort County, North Carolina
2025-04-01 23:07:22,732 - INFO - Skipping already processed county: Beaver County, Pennsylvania
2025-04-01 23:07:22,732 - INFO - Skipping already processed county: Beaver County, Utah
2025-04-01 23:07:22,733 - INFO - Skipping already processed county: Becker County, Minnesota
2025-04-01 23:07:22,733 - INFO - Skipping already processed county: Bedford County, Pennsylvania
2025-04-01 23:07:22,734 - INFO - Skipping already processed county: Bedford County, Tennessee
2025-04-01 23:07:22,734 - INFO - Skipping already processed county: Bedford County, Virginia
2025-04-01 23:07:22,735 - INFO - Skipping already processed county: Bee County, Texas
2025-04-01 23:07:22,736 - INFO - Skipping already processed county: Belknap County, New Hampshire
2025-04-01 23:07:22,737 - INFO - Skipping already processed county: Bell County, Texas
2025-04-01 23:07:22,737 - INFO - Skipping already processed county: Belmont County, Ohio
2025-04-01 23:07:22,737 - INFO - Skipping already processed county: Beltrami County, Minnesota
2025-04-01 23:07:22,738 - INFO - Skipping already processed county: Ben Hill County, Georgia
2025-04-01 23:07:22,738 - INFO - Skipping already processed county: Benewah County, Idaho
2025-04-01 23:07:22,739 - INFO - Skipping already processed county: Benson County, North Dakota
2025-04-01 23:07:22,739 - INFO - Skipping already processed county: Benton County, Arkansas
2025-04-01 23:07:22,740 - INFO - Skipping already processed county: Benton County, Indiana
2025-04-01 23:07:22,740 - INFO - Skipping already processed county: Benton County, Minnesota
2025-04-01 23:07:22,740 - INFO - Skipping already processed county: Benton County, Oregon
2025-04-01 23:07:22,741 - INFO - Skipping already processed county: Benton County, Tennessee
2025-04-01 23:07:22,742 - INFO - Skipping already processed county: Benton County, Washington
2025-04-01 23:07:22,743 - INFO - Skipping already processed county: Benzie County, Michigan
2025-04-01 23:07:22,745 - INFO - Skipping already processed county: Berkeley County, West Virginia
2025-04-01 23:07:22,745 - INFO - Skipping already processed county: Berks County, Pennsylvania
2025-04-01 23:07:22,746 - INFO - Processing county: Berkshire County, state: Massachusetts
2025-04-01 23:07:29,281 - INFO - Navigating to: https://data.census.gov/all?q=Berkshire+County%2C+Massachusetts (Attempt 1/3)
2025-04-01 23:07:51,765 - INFO - Scraping demographics for Berkshire County, Massachusetts...
2025-04-01 23:07:51,999 - INFO - Population: Total Population:129,026
2025-04-01 23:07:52,022 - INFO - Income: Median Household Income:$77,498
2025-04-01 23:07:52,039 - INFO - Employment Rate: Employment Rate:57.7%
2025-04-01 23:07:58,162 - INFO - Navigating to: https://www.bing.com/search?q=Berkshire+County%2C+Massachusetts+population+growth+rate (Attempt 1/3)
2025-04-01 23:08:00,449 - INFO - Searching Bing for population growth rate: Berkshire County, Massachusetts population growth rate
2025-04-01 23:08:00,533 - INFO - Page content loaded for Berkshire County, Massachusetts
2025-04-01 23:08:00,535 - INFO - Population growth rate result: -0.58%
2025-04-01 23:08:00,555 - INFO - --------------------------------------------------------------------------------
2025-04-01 23:08:00,555 - INFO - Processing county: Bernalillo County, state: New Mexico
2025-04-01 23:08:06,856 - INFO - Navigating to: https://data.census.gov/all?q=Bernalillo+County%2C+New+Mexico (Attempt 1/3)
2025-04-01 23:08:08,686 - INFO - Scraping demographics for Bernalillo County, New Mexico...
2025-04-01 23:08:17,352 - INFO - Population: Total Population:676,444
2025-04-01 23:08:17,369 - INFO - Income: Median Household Income:$68,372
2025-04-01 23:08:17,384 - INFO - Employment Rate: Employment Rate:59.9%
2025-04-01 23:08:21,164 - INFO - Navigating to: https://www.bing.com/search?q=Bernalillo+County%2C+New+Mexico+population+growth+rate (Attempt 1/3)
2025-04-01 23:08:22,277 - INFO - Searching Bing for population growth rate: Bernalillo County, New Mexico population growth rate
2025-04-01 23:08:22,491 - INFO - Page content loaded for Bernalillo County, New Mexico
2025-04-01 23:08:22,492 - INFO - Population growth rate result: -0.2%
2025-04-01 23:08:22,496 - INFO - --------------------------------------------------------------------------------
2025-04-01 23:08:22,497 - INFO - Processing county: Berrien County, state: Georgia
2025-04-01 23:08:27,072 - INFO - Navigating to: https://data.census.gov/all?q=Berrien+County%2C+Georgia (Attempt 1/3)
2025-04-01 23:08:28,713 - INFO - Scraping demographics for Berrien County, Georgia...
2025-04-01 23:08:32,995 - INFO - Population: Total Population:18,160
2025-04-01 23:08:33,025 - INFO - Income: Median Household Income:$50,414
2025-04-01 23:08:33,056 - INFO - Employment Rate: Employment Rate:52.9%
