2025-04-03 18:52:02,827 - INFO - Script started
2025-04-03 18:52:02,829 - INFO - Starting the main function
2025-04-03 18:52:03,607 - INFO - Launching the browser
2025-04-03 18:52:04,872 - INFO - Browser launched and new page created
2025-04-03 18:52:04,884 - INFO - Output directory created at D:\code\cj_carter_all\demographics_data
2025-04-03 18:52:04,884 - INFO - CSV file path set to D:\code\cj_carter_all\demographics_data\data.csv
2025-04-03 18:52:04,911 - INFO - Loaded 1904 counties from file
2025-04-03 18:52:04,974 - INFO - Loaded 572 already processed counties
2025-04-03 18:52:04,975 - INFO - Skipping already processed county: Accomack County, Virginia
2025-04-03 18:52:04,975 - INFO - Skipping already processed county: Ada County, Idaho
2025-04-03 18:52:04,976 - INFO - Skipping already processed county: Adams County, Idaho
2025-04-03 18:52:04,977 - INFO - Skipping already processed county: Adams County, Indiana
2025-04-03 18:52:04,977 - INFO - Skipping already processed county: Adams County, North Dakota
2025-04-03 18:52:04,977 - INFO - Skipping already processed county: Adams County, Ohio
2025-04-03 18:52:04,978 - INFO - Skipping already processed county: Adams County, Pennsylvania
2025-04-03 18:52:04,978 - INFO - Skipping already processed county: Adams County, Washington
2025-04-03 18:52:04,979 - INFO - Skipping already processed county: Adams County, Wisconsin
2025-04-03 18:52:04,979 - INFO - Skipping already processed county: Aitkin County, Minnesota
2025-04-03 18:52:04,980 - INFO - Skipping already processed county: Alamance County, North Carolina
2025-04-03 18:52:04,980 - INFO - Skipping already processed county: Alameda County, California
2025-04-03 18:52:04,980 - INFO - Skipping already processed county: Albany County, New York
2025-04-03 18:52:04,981 - INFO - Skipping already processed county: Albemarle County, Virginia
2025-04-03 18:52:04,981 - INFO - Skipping already processed county: Alcona County, Michigan
2025-04-03 18:52:04,982 - INFO - Skipping already processed county: Aleutians East Borough, Alaska
2025-04-03 18:52:04,983 - INFO - Skipping already processed county: Aleutians West Census Area, Alaska
2025-04-03 18:52:04,984 - INFO - Skipping already processed county: Alexander County, North Carolina
2025-04-03 18:52:04,985 - INFO - Skipping already processed county: Alger County, Michigan
2025-04-03 18:52:04,986 - INFO - Skipping already processed county: Allegan County, Michigan
2025-04-03 18:52:04,986 - INFO - Skipping already processed county: Allegany County, New York
2025-04-03 18:52:04,987 - INFO - Skipping already processed county: Alleghany County, North Carolina
2025-04-03 18:52:04,988 - INFO - Skipping already processed county: Alleghany County, Virginia
2025-04-03 18:52:04,988 - INFO - Skipping already processed county: Allegheny County, Pennsylvania
2025-04-03 18:52:04,989 - INFO - Skipping already processed county: Allen County, Indiana
2025-04-03 18:52:04,990 - INFO - Skipping already processed county: Allen County, Kansas
2025-04-03 18:52:04,991 - INFO - Skipping already processed county: Allen County, Ohio
2025-04-03 18:52:04,994 - INFO - Skipping already processed county: Alpena County, Michigan
2025-04-03 18:52:04,995 - INFO - Skipping already processed county: Alpine County, California
2025-04-03 18:52:04,996 - INFO - Skipping already processed county: Amador County, California
2025-04-03 18:52:04,996 - INFO - Skipping already processed county: Amelia County, Virginia
2025-04-03 18:52:04,997 - INFO - Skipping already processed county: Amherst County, Virginia
2025-04-03 18:52:04,997 - INFO - Skipping already processed county: Municipality of Anchorage, Alaska (a consolidated city-borough under Alaska law)
2025-04-03 18:52:04,999 - INFO - Skipping already processed county: Anderson County, Kansas
2025-04-03 18:52:05,000 - INFO - Skipping already processed county: Anderson County, Tennessee
2025-04-03 18:52:05,000 - INFO - Skipping already processed county: Anderson County, Texas
2025-04-03 18:52:05,001 - INFO - Skipping already processed county: Andrews County, Texas
2025-04-03 18:52:05,001 - INFO - Skipping already processed county: Androscoggin County, Maine
2025-04-03 18:52:05,002 - INFO - Skipping already processed county: Angelina County, Texas
2025-04-03 18:52:05,002 - INFO - Skipping already processed county: Anoka County, Minnesota
2025-04-03 18:52:05,003 - INFO - Skipping already processed county: Anson County, North Carolina
2025-04-03 18:52:05,003 - INFO - Skipping already processed county: Antrim County, Michigan
2025-04-03 18:52:05,004 - INFO - Skipping already processed county: Appling County, Georgia
2025-04-03 18:52:05,004 - INFO - Skipping already processed county: Appomattox County, Virginia
2025-04-03 18:52:05,005 - INFO - Skipping already processed county: Aransas County, Texas
2025-04-03 18:52:05,006 - INFO - Skipping already processed county: Archer County, Texas
2025-04-03 18:52:05,009 - INFO - Skipping already processed county: Arenac County, Michigan
2025-04-03 18:52:05,009 - INFO - Skipping already processed county: Arkansas County, Arkansas
2025-04-03 18:52:05,010 - INFO - Skipping already processed county: Arlington County, Virginia
2025-04-03 18:52:05,012 - INFO - Skipping already processed county: Armstrong County, Pennsylvania
2025-04-03 18:52:05,013 - INFO - Skipping already processed county: Armstrong County, Texas
2025-04-03 18:52:05,014 - INFO - Skipping already processed county: Aroostook County, Maine
2025-04-03 18:52:05,014 - INFO - Skipping already processed county: Ashe County, North Carolina
2025-04-03 18:52:05,015 - INFO - Skipping already processed county: Ashland County, Ohio
2025-04-03 18:52:05,016 - INFO - Skipping already processed county: Ashland County, Wisconsin
2025-04-03 18:52:05,016 - INFO - Skipping already processed county: Ashley County, Arkansas
2025-04-03 18:52:05,017 - INFO - Skipping already processed county: Ashtabula County, Ohio
2025-04-03 18:52:05,017 - INFO - Skipping already processed county: Asotin County, Washington
2025-04-03 18:52:05,018 - INFO - Skipping already processed county: Atascosa County, Texas
2025-04-03 18:52:05,018 - INFO - Skipping already processed county: Atchison County, Kansas
2025-04-03 18:52:05,019 - INFO - Skipping already processed county: Athens County, Ohio
2025-04-03 18:52:05,019 - INFO - Skipping already processed county: Atkinson County, Georgia
2025-04-03 18:52:05,020 - INFO - Skipping already processed county: Auglaize County, Ohio
2025-04-03 18:52:05,020 - INFO - Skipping already processed county: Augusta County, Virginia
2025-04-03 18:52:05,021 - INFO - Skipping already processed county: Austin County, Texas
2025-04-03 18:52:05,021 - INFO - Skipping already processed county: Avery County, North Carolina
2025-04-03 18:52:05,022 - INFO - Skipping already processed county: Bacon County, Georgia
2025-04-03 18:52:05,023 - INFO - Skipping already processed county: Bailey County, Texas
2025-04-03 18:52:05,023 - INFO - Skipping already processed county: Baker County, Georgia
2025-04-03 18:52:05,024 - INFO - Skipping already processed county: Baker County, Oregon
2025-04-03 18:52:05,026 - INFO - Skipping already processed county: Baldwin County, Georgia
2025-04-03 18:52:05,028 - INFO - Skipping already processed county: Bandera County, Texas
2025-04-03 18:52:05,029 - INFO - Skipping already processed county: Banks County, Georgia
2025-04-03 18:52:05,030 - INFO - Skipping already processed county: Bannock County, Idaho
2025-04-03 18:52:05,032 - INFO - Skipping already processed county: Baraga County, Michigan
2025-04-03 18:52:05,033 - INFO - Skipping already processed county: Barber County, Kansas
2025-04-03 18:52:05,034 - INFO - Skipping already processed county: Barbour County, West Virginia
2025-04-03 18:52:05,034 - INFO - Skipping already processed county: Barnes County, North Dakota
2025-04-03 18:52:05,035 - INFO - Skipping already processed county: Barnstable County, Massachusetts
2025-04-03 18:52:05,035 - INFO - Skipping already processed county: Barron County, Wisconsin
2025-04-03 18:52:05,036 - INFO - Skipping already processed county: Barrow County, Georgia
2025-04-03 18:52:05,037 - INFO - Skipping already processed county: Barry County, Michigan
2025-04-03 18:52:05,037 - INFO - Skipping already processed county: Bartholomew County, Indiana
2025-04-03 18:52:05,038 - INFO - Skipping already processed county: Barton County, Kansas
2025-04-03 18:52:05,038 - INFO - Skipping already processed county: Bartow County, Georgia
2025-04-03 18:52:05,040 - INFO - Skipping already processed county: Bastrop County, Texas
2025-04-03 18:52:05,041 - INFO - Skipping already processed county: Bath County, Virginia
2025-04-03 18:52:05,042 - INFO - Skipping already processed county: Baxter County, Arkansas
2025-04-03 18:52:05,043 - INFO - Skipping already processed county: Bay County, Michigan
2025-04-03 18:52:05,043 - INFO - Skipping already processed county: Bayfield County, Wisconsin
2025-04-03 18:52:05,044 - INFO - Skipping already processed county: Baylor County, Texas
2025-04-03 18:52:05,044 - INFO - Skipping already processed county: Bear Lake County, Idaho
2025-04-03 18:52:05,045 - INFO - Skipping already processed county: Beaufort County, North Carolina
2025-04-03 18:52:05,046 - INFO - Skipping already processed county: Beaver County, Pennsylvania
2025-04-03 18:52:05,046 - INFO - Skipping already processed county: Beaver County, Utah
2025-04-03 18:52:05,047 - INFO - Skipping already processed county: Becker County, Minnesota
2025-04-03 18:52:05,048 - INFO - Skipping already processed county: Bedford County, Pennsylvania
2025-04-03 18:52:05,049 - INFO - Skipping already processed county: Bedford County, Tennessee
2025-04-03 18:52:05,049 - INFO - Skipping already processed county: Bedford County, Virginia
2025-04-03 18:52:05,050 - INFO - Skipping already processed county: Bee County, Texas
2025-04-03 18:52:05,050 - INFO - Skipping already processed county: Belknap County, New Hampshire
2025-04-03 18:52:05,051 - INFO - Skipping already processed county: Bell County, Texas
2025-04-03 18:52:05,051 - INFO - Skipping already processed county: Belmont County, Ohio
2025-04-03 18:52:05,052 - INFO - Skipping already processed county: Beltrami County, Minnesota
2025-04-03 18:52:05,052 - INFO - Skipping already processed county: Ben Hill County, Georgia
2025-04-03 18:52:05,053 - INFO - Skipping already processed county: Benewah County, Idaho
2025-04-03 18:52:05,054 - INFO - Skipping already processed county: Benson County, North Dakota
2025-04-03 18:52:05,054 - INFO - Skipping already processed county: Benton County, Arkansas
2025-04-03 18:52:05,055 - INFO - Skipping already processed county: Benton County, Indiana
2025-04-03 18:52:05,056 - INFO - Skipping already processed county: Benton County, Minnesota
2025-04-03 18:52:05,057 - INFO - Skipping already processed county: Benton County, Oregon
2025-04-03 18:52:05,058 - INFO - Skipping already processed county: Benton County, Tennessee
2025-04-03 18:52:05,059 - INFO - Skipping already processed county: Benton County, Washington
2025-04-03 18:52:05,060 - INFO - Skipping already processed county: Benzie County, Michigan
2025-04-03 18:52:05,061 - INFO - Skipping already processed county: Berkeley County, West Virginia
2025-04-03 18:52:05,061 - INFO - Skipping already processed county: Berks County, Pennsylvania
2025-04-03 18:52:05,062 - INFO - Skipping already processed county: Berkshire County, Massachusetts
2025-04-03 18:52:05,063 - INFO - Skipping already processed county: Bernalillo County, New Mexico
2025-04-03 18:52:05,063 - INFO - Skipping already processed county: Berrien County, Georgia
2025-04-03 18:52:05,064 - INFO - Skipping already processed county: Berrien County, Michigan
2025-04-03 18:52:05,065 - INFO - Skipping already processed county: Bertie County, North Carolina
2025-04-03 18:52:05,065 - INFO - Skipping already processed county: Bethel Census Area, Alaska
2025-04-03 18:52:05,066 - INFO - Skipping already processed county: Bexar County, Texas
2025-04-03 18:52:05,066 - INFO - Skipping already processed county: Bibb County, Georgia
